Datetime,Quarter,Likes,NFT,Text,clean_text,manual_label
2022-06-27,22,2,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#27894 sold for 18.45 ETH (20.25k $)

🔗 https://t.co/NN2SSu6B75 https://t.co/VJw09rfym2",mutant ape yacht club mayc nft sold eth k,pos
2023-02-11,31,2,Mutant Ape Yacht Club,"🐳1 Mutant Ape Yacht Club bought for Ξ15.377

🧹Floor:Ξ14.69/1H Chg%:📈+0.00%
⏱️Floor:1HΞ14.69/8HΞ14.45/24HΞ14.285
💰Volume:1HΞ65.810/8HΞ335.183/24HΞ1182.931

👀Snipe on @nfteye_io:
https://t.co/IPUfeelZjX

🛒Buyer: 
0xE15A6630445Ba0975DE2c5a3A9aD45b15F7D4C7e

#NFTs #NFTEye",mutant ape yacht club bought floor h chg floor h h h volume h h h snipe nfteye io buyer xe ba de c ad b f c e nfts nfteye,pos
2022-12-30,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#77 sold for 15.81 ETH ($18.88K)

🔗 https://t.co/F2IcXntdLP https://t.co/RVJtVtdEEx",mutant ape yacht club mayc nft sold eth k,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#23452 sold for 16.19 ETH ($19.29K)

🔗 https://t.co/2j6k74LU8O https://t.co/vx0wlch0Md",mutant ape yacht club mayc nft sold eth k,pos
2022-12-29,24,1,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #27908 sold for 17 ETH ($20,178)
                        
#NFT Collection: #MutantApeYachtClub, #MAYC
Floor Price: 11.65 #ETH

https://t.co/H2Bcz42v5F https://t.co/oml2zBeP1g",mutant ape yacht club sold eth nft collection mutantapeyachtclub mayc floor price eth,pos
2022-03-28,21,2,Mutant Ape Yacht Club,Check out #22218 by MutantApeYachtClub at https://t.co/JUqiWr7qfP NFT! https://t.co/6BO84ZP1He via @cryptocom. I’m selling this mutant ape yacht club for $350. It’s sale time 🥰 check it out 👇👇,check mutantapeyachtclub nft via cryptocom selling mutant ape yacht club sale time check,neu
2022-09-23,23,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#5201 sold for 15 ETH ($19.63k)

🔗https://t.co/OXwAjP8gVb https://t.co/GyUomHXS33",mutant ape yacht club mayc nft sold eth k co oxwajp gvb,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#15828 sold for 16.2 ETH ($19.32K)

🔗 https://t.co/nWyg2qAt5o https://t.co/vp7oovYXO0",mutant ape yacht club mayc nft sold eth k,pos
2022-06-27,22,1,Mutant Ape Yacht Club,"#NFT Time! Mutant Ape Yacht Club one day volume is 673.82 $eth

#mutant_ape_yacht_club #opensea https://t.co/UYDki4mtm4",nft time mutant ape yacht club one day volume eth mutant ape yacht club opensea,neu
2021-12-29,14,0,Mutant Ape Yacht Club,"📈 #0xaaD bought MutantApeYachtClub #6504 - Mutant Ape Yacht Club for $67.4K (~18.0 ETH)

https://t.co/4PnxfoegHN https://t.co/gNk55JG4pY",xaad bought mutantapeyachtclub mutant ape yacht club k eth,pos
2022-06-25,22,2,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #2723 sold for 18.50 ETH ($22,369.36)
                        
Previously sold for 24.00 ETH ($29,047.44)
#NFT Collection: #MutantApeYachtClub
Floor Price: 17.5 #ETH

https://t.co/m0lBV3y3vw https://t.co/ssCaadRKyp",mutant ape yacht club sold eth previously sold eth nft collection mutantapeyachtclub floor price eth,pos
2021-12-29,14,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club | #MAYC

ID: #7826
Sold for: 25 ETH (93.30K $)
Tx: https://t.co/VZmH3d0PBZ

🔗 https://t.co/cnNqnrTyW2 https://t.co/Gwd7lZ5E1Y",mutant ape yacht club mayc id sold eth k tx,pos
2022-09-22,23,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#19386 sold for 17 ETH ($21.61k)

🔗 https://t.co/S7ivMLgIrB https://t.co/rAnHAuULsl",mutant ape yacht club mayc nft sold eth k,pos
2023-02-09,31,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#10852 sold for 15 ETH ($24.64K)

🔗 https://t.co/wgnPAyhK3U https://t.co/RPF53QCCu7",mutant ape yacht club mayc nft sold eth k,pos
